,brand,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,os_bit,graphic_card_gb,weight,warranty,Touchscreen,msoffice,rating,Price,Number of Ratings,Number of Reviews
330,4,1,2,1,3,1,6,0,2,1,1,0,0,1,1,3,76990,14,2
331,5,1,2,1,3,1,6,0,2,1,0,0,1,0,1,3,62998,739,71
332,3,1,2,1,3,1,6,0,2,1,0,0,0,1,1,3,77990,31,5
333,4,1,2,0,3,1,6,0,2,1,0,0,0,1,1,3,114990,145,19
334,3,1,2,0,3,1,6,0,2,1,1,0,0,0,1,2,65990,0,0
335,3,1,2,1,3,1,6,0,2,1,1,0,0,0,1,2,88990,19,2
336,5,1,2,0,3,1,6,0,2,1,0,0,3,0,0,2,113590,0,0
337,1,1,2,1,3,5,6,0,2,1,0,0,0,1,1,3,73990,32,6
338,4,1,2,1,3,1,6,0,2,1,0,2,0,0,1,3,61000,1124,100
339,1,1,2,1,3,5,6,0,2,1,0,0,0,1,0,3,99990,35,6
340,5,1,2,1,3,1,6,0,2,1,0,2,0,0,1,3,67990,9,0
341,3,1,2,1,3,1,6,0,2,1,0,0,0,1,1,3,70799,98,6
342,5,1,2,1,3,1,6,0,2,1,0,2,0,0,1,3,65990,31,2
343,1,1,2,5,3,1,6,0,2,1,0,2,0,0,0,3,53690,19,3
344,6,1,2,1,3,1,6,0,2,1,0,2,0,0,0,2,55990,0,0
345,1,1,2,1,3,1,6,0,2,1,0,0,0,0,1,3,53190,11,0
346,5,1,2,0,3,1,6,0,2,0,1,0,1,0,1,3,58999,45,3
347,3,1,2,1,3,1,6,0,2,1,1,2,2,0,0,2,71990,0,0
348,4,1,2,1,3,1,6,0,2,0,2,0,3,0,0,2,82000,0,0
349,1,1,2,1,3,5,6,0,2,1,0,2,3,0,0,2,84990,0,0
350,5,1,2,1,3,1,6,0,2,1,1,0,3,0,0,2,89998,0,0
351,1,1,2,1,3,5,6,0,2,1,0,0,0,1,0,2,99990,0,0
353,5,1,2,0,3,1,6,0,2,1,2,1,3,0,0,3,69899,474,37
354,3,1,2,0,3,1,6,0,2,1,2,0,0,0,0,2,79990,0,0
355,3,1,2,0,3,1,6,0,2,1,2,0,0,0,0,3,76300,6,0
356,5,1,2,0,3,1,6,0,2,1,0,0,0,0,1,2,55999,0,0
357,3,1,2,1,3,1,6,0,2,1,0,2,3,0,0,2,72900,24,4
358,3,1,2,1,3,1,6,0,2,1,0,0,0,1,1,3,73990,195,17
359,1,1,2,1,3,4,6,0,2,1,0,2,3,0,0,2,84990,0,0
360,3,1,2,1,3,1,6,0,2,0,1,0,3,0,0,2,73519,0,0
361,4,1,2,0,3,1,6,0,2,1,0,0,0,1,0,4,126000,2,1
362,1,1,2,1,3,1,6,0,2,1,3,0,0,0,0,2,88990,0,0
363,4,1,2,1,3,1,6,0,2,1,0,2,0,1,1,2,114999,0,0
364,3,1,2,1,3,1,6,0,2,1,1,0,0,1,1,3,82990,21,2
365,7,1,2,1,3,1,6,0,2,1,0,2,3,1,0,2,109999,0,0
366,5,1,2,1,3,1,6,0,2,1,0,2,0,1,1,2,82990,0,0
367,3,1,2,1,3,1,6,0,2,1,1,0,0,1,1,3,79990,5,0
368,1,1,2,1,3,5,6,0,2,1,0,0,0,1,0,2,114990,0,0
369,4,1,2,1,3,5,6,0,2,1,0,0,0,1,0,2,129999,0,0
370,6,1,2,5,3,2,6,0,2,0,3,0,3,0,0,3,149990,10,3
371,3,1,2,1,3,1,6,0,2,1,1,0,3,0,0,2,71290,0,0
372,3,1,2,0,3,1,6,0,2,1,0,2,0,0,1,3,79500,10,1
373,3,1,2,0,3,1,6,0,2,1,1,0,0,0,1,2,82990,15,3
374,3,1,2,1,3,1,6,0,2,1,1,0,0,0,1,3,70980,138,23
376,4,1,2,1,3,1,6,0,2,0,0,0,3,0,0,2,94000,0,0
377,3,1,2,1,3,1,6,0,2,1,1,0,3,1,0,3,82990,16,3
378,6,1,2,1,3,5,6,0,2,1,0,0,0,0,0,3,79990,11,4
379,1,1,2,5,3,1,6,0,2,1,0,2,3,0,0,2,85990,0,0
380,1,1,2,0,3,1,6,0,2,1,1,0,3,0,0,2,86990,0,0
381,1,1,2,0,3,3,6,0,2,1,1,0,0,0,1,4,105990,4,0
382,1,1,2,0,3,3,6,0,2,1,0,0,3,0,0,2,84990,0,0
383,5,1,2,5,3,1,6,0,2,1,1,0,0,0,1,3,59999,22,3
384,5,1,2,1,3,1,6,0,2,1,0,0,0,0,1,3,91999,16,2
385,3,1,2,1,3,1,6,0,2,1,0,0,0,1,1,2,78900,16,1
386,1,1,2,0,3,3,6,0,2,1,0,0,3,0,0,2,132790,0,0
387,5,1,2,1,3,1,6,0,2,1,2,1,3,0,0,2,60990,14,6
388,2,1,2,4,3,1,6,0,2,1,0,2,3,0,0,2,65556,0,0
389,3,1,2,1,0,1,6,0,2,1,0,2,3,0,0,2,70190,6,3
390,3,1,2,1,3,1,6,0,2,1,1,0,0,1,0,2,79590,0,0
392,1,1,2,1,3,1,6,0,2,1,2,0,0,0,0,2,76990,0,0
394,2,1,2,5,3,1,6,0,2,1,0,2,3,0,0,2,44990,17,3
395,1,1,2,1,3,1,6,0,2,1,0,0,0,1,1,2,84990,17,2
396,5,1,2,0,3,1,6,0,2,1,1,0,0,1,1,3,86999,3,0
397,4,1,2,1,0,1,6,0,2,1,1,0,0,0,0,3,78000,512,85
398,2,1,2,5,3,1,6,0,2,1,0,2,3,0,0,2,73063,17,3
400,4,1,2,1,0,1,6,0,2,1,2,0,0,0,1,2,100990,0,0
401,5,1,2,5,3,1,6,0,2,1,0,2,0,0,1,2,74990,3,1
402,1,1,2,0,3,1,6,0,2,1,2,0,3,0,0,3,75990,1365,137
403,5,1,2,1,3,1,6,0,2,0,1,0,0,0,1,2,84086,8,3
404,1,1,2,1,3,1,1,0,2,1,2,1,3,0,0,3,75990,368,48
405,1,1,2,1,3,1,1,0,2,1,2,1,0,0,1,3,77990,202,26
406,1,1,2,0,3,1,1,0,2,1,2,0,0,0,0,3,77990,187,26
407,0,1,2,0,0,5,1,0,1,1,0,0,0,0,0,3,179990,31,3
408,0,1,2,0,0,5,1,0,1,1,0,0,0,0,0,3,179990,91,5
409,1,1,2,0,3,1,1,0,2,1,2,0,3,0,0,3,82990,844,118
410,1,1,2,1,3,1,1,0,2,1,2,0,0,0,0,2,87990,0,0
411,1,1,2,1,3,1,1,0,2,1,2,0,3,0,0,3,84500,3,0
412,3,1,2,1,3,5,1,0,2,1,0,2,3,0,0,3,74190,21,3
413,5,1,2,1,3,1,1,0,2,1,0,2,0,0,1,2,64990,4,0
414,5,1,2,0,3,1,6,3,2,1,0,2,2,1,0,2,155411,0,0
415,5,1,2,0,3,1,6,3,2,1,0,2,2,1,0,2,125394,0,0
416,7,1,2,1,3,1,0,1,2,1,0,0,3,0,0,2,49990,0,0
417,7,1,2,1,3,1,0,1,2,1,0,2,0,0,0,2,46990,253,28
418,3,1,2,1,3,1,0,1,2,1,0,2,0,0,1,2,48990,470,46
419,7,1,2,5,3,1,0,1,2,1,1,0,0,0,1,3,59999,118,28
420,1,1,2,0,3,1,0,1,2,1,0,2,0,0,0,3,46990,1444,179
421,6,1,2,0,3,1,0,1,2,1,2,0,1,0,0,3,52990,1114,137
422,5,1,2,4,3,1,0,1,2,0,1,0,3,0,0,2,57999,0,0
423,5,1,2,3,3,0,0,1,2,1,0,0,3,0,0,2,52490,78,17
424,5,1,2,5,3,1,0,1,2,1,2,0,0,0,0,3,56990,21,5
425,7,1,2,5,3,1,0,1,2,1,1,2,0,0,0,3,61990,73,21
426,3,1,2,1,3,1,0,1,2,0,0,0,3,0,0,2,58090,0,0
427,1,1,2,0,3,1,0,1,2,1,0,0,3,0,0,2,56990,0,0
428,7,1,2,5,3,1,0,1,2,1,0,2,0,0,0,2,61597,0,0
429,1,1,2,5,3,1,0,1,2,1,0,2,3,0,0,2,81990,0,0
430,1,1,2,0,3,1,0,1,2,1,0,0,3,0,0,2,61249,0,0
431,3,1,2,1,3,1,0,1,2,0,0,0,3,0,0,2,58990,0,0
432,1,1,2,0,3,1,0,1,2,1,1,0,3,0,0,2,83990,0,0
433,6,1,2,0,3,4,0,3,0,0,3,0,3,0,0,3,291190,7,3
434,6,1,2,0,3,4,0,3,0,0,3,0,3,0,0,3,145990,715,106
435,6,1,2,0,3,4,0,3,0,0,4,0,3,0,0,3,179990,24,5
436,4,1,2,5,3,1,0,1,2,1,1,0,0,0,1,3,64990,23,4
437,4,1,2,5,3,1,0,1,2,1,0,0,0,0,0,3,46790,3062,325
438,4,1,2,4,2,1,0,1,2,1,0,0,0,0,0,3,44599,122,12
439,7,1,2,5,3,1,0,1,2,1,1,0,0,0,0,3,72964,18,6
440,4,1,2,0,3,1,0,1,2,0,0,0,0,0,1,2,48790,11,1
441,7,1,2,0,3,1,0,1,2,1,1,0,0,0,0,2,56491,30,6
442,1,1,2,1,3,1,4,1,2,0,0,0,0,0,1,3,50990,1188,127
443,1,1,2,0,3,1,4,1,2,1,2,1,3,0,0,3,55990,23,0
444,7,1,2,1,3,1,4,1,2,1,0,0,0,0,0,3,57990,32,1
445,1,1,2,1,3,1,4,1,2,1,0,0,0,0,0,2,52990,0,0
446,3,1,2,1,3,1,4,1,2,1,0,0,0,0,0,3,57990,47,0
447,7,1,2,1,3,1,4,1,2,1,0,2,0,0,0,3,56990,27,2
448,7,1,2,1,3,1,4,1,2,1,0,0,3,0,0,2,55490,8,3
449,3,1,2,1,3,1,4,1,2,1,1,0,0,0,0,2,62490,157,20
450,1,1,2,1,0,1,4,1,2,1,0,0,0,0,0,3,64990,10,1
451,5,1,2,1,3,1,4,1,2,1,1,0,0,0,1,3,59990,52,4
452,1,1,2,1,3,1,4,1,2,1,1,0,0,0,1,3,60190,33,4
453,1,1,2,6,3,1,4,1,2,1,2,1,3,0,0,3,54490,343,47
454,5,1,2,6,3,1,4,1,2,1,2,0,0,0,1,3,60990,131,17
455,3,1,2,1,2,1,4,1,2,1,0,2,0,0,1,3,55790,41,4
456,1,1,2,1,0,1,4,1,2,1,0,0,0,0,1,3,64990,328,51
457,1,1,2,1,0,1,4,1,2,1,0,2,3,0,0,3,58990,6,1
458,3,1,2,1,3,1,4,1,2,1,0,2,0,0,1,2,54990,353,28
459,4,1,2,1,3,1,4,1,2,1,2,1,0,0,1,3,71990,127,20
460,3,1,2,1,3,1,4,1,2,1,1,0,0,0,0,2,69900,0,0
461,5,1,2,1,3,1,4,1,2,1,1,0,0,0,1,3,65990,241,19
462,1,1,2,1,3,1,4,1,2,1,0,0,0,0,0,2,49990,22,2
463,3,1,2,1,3,1,4,1,2,1,0,2,0,0,1,3,58990,8,1
464,5,1,2,0,3,1,4,1,2,1,2,1,3,0,0,3,74590,898,128
465,1,1,2,0,3,1,4,1,2,0,1,0,3,0,0,4,58990,1,1
466,1,1,2,1,3,1,4,1,2,1,0,0,0,0,0,2,64990,0,0
467,3,1,2,1,3,1,4,1,2,1,1,0,3,0,0,2,66490,6,1
468,3,1,2,0,3,1,4,1,2,1,2,0,3,0,0,3,77900,179,34
469,3,1,2,1,3,1,4,1,2,1,1,0,3,0,0,2,67490,41,5
470,3,1,2,1,3,1,4,1,2,1,0,2,0,0,1,2,61990,0,0
471,3,1,2,1,3,1,4,1,2,1,0,0,0,0,1,3,58990,114,9
472,5,1,2,0,3,1,4,1,2,1,2,1,3,0,0,3,74999,268,25
473,1,1,2,1,3,1,4,1,2,1,0,0,0,0,1,4,68900,6,1
474,3,1,2,1,3,1,4,1,2,1,1,0,3,0,0,3,71695,153,16
475,7,1,2,1,0,1,4,1,2,1,0,0,3,0,0,2,62490,8,0
476,3,1,2,5,3,1,0,2,2,1,1,0,0,0,1,3,62317,377,53
477,6,1,2,0,3,4,0,3,0,0,4,0,3,0,0,2,207290,0,0
478,3,1,3,5,0,1,4,0,2,1,2,0,0,0,1,3,87990,120,21
479,2,1,3,5,3,1,4,0,2,1,0,2,3,0,0,2,73990,0,0
485,1,1,3,0,0,1,6,0,2,1,0,0,0,0,0,3,57990,76,9
486,1,1,3,0,3,1,6,0,2,1,2,1,3,0,0,3,61990,11,2
487,6,1,3,0,0,1,6,0,2,1,2,0,1,0,0,3,79990,484,56
488,5,1,3,0,3,1,6,0,2,1,2,1,0,0,1,3,68990,44,2
489,5,1,3,1,0,1,6,0,2,1,0,0,0,1,1,3,85990,77,10
490,5,1,3,1,0,1,6,0,2,1,2,0,0,0,1,3,99990,11,3
491,1,1,3,1,3,1,6,0,2,1,0,0,0,0,1,3,77990,21,5
492,5,1,3,1,3,1,6,0,2,1,2,1,3,0,0,3,79990,5,2
493,4,1,3,1,0,1,6,0,2,1,2,0,0,0,1,4,93190,4,0
494,1,1,3,1,0,5,6,0,2,1,0,0,0,0,1,2,94990,0,0
495,5,1,3,1,0,1,6,0,2,1,0,0,2,1,1,3,84990,13,2
496,6,1,3,0,3,1,6,0,2,1,0,2,3,0,0,3,57990,15,0
497,4,1,3,1,0,1,6,0,2,1,0,0,0,1,1,3,102990,11,2
498,3,1,3,1,0,1,6,0,2,1,2,0,0,0,0,2,99990,0,0
499,1,1,3,1,0,1,6,0,2,1,2,1,3,0,0,3,94990,118,15
500,4,1,3,1,0,1,6,0,2,1,0,0,0,1,1,2,104000,0,0
501,6,1,3,1,0,1,6,0,2,1,1,0,3,0,0,2,76990,0,0
502,4,1,3,1,0,1,6,0,2,1,2,1,0,0,1,3,90190,6,1
503,5,1,3,1,0,1,6,0,2,0,0,0,3,1,0,2,88488,0,0
504,6,1,3,0,0,1,6,0,2,1,2,0,0,0,0,3,109990,138,30
505,6,1,3,1,0,1,6,0,2,1,2,0,3,0,0,2,86990,0,0
506,6,1,3,1,0,5,6,0,2,1,0,0,0,0,0,2,89990,0,0
507,4,1,3,0,0,3,6,0,2,1,0,0,0,1,1,2,239759,0,0
508,1,1,3,1,0,1,6,0,2,1,1,0,0,0,1,3,78990,35,4
509,3,1,3,5,0,0,6,0,2,1,0,2,0,0,1,0,121890,3,0
510,1,1,3,5,0,3,6,0,2,1,0,2,0,0,0,3,85990,18,0
511,6,1,3,1,0,1,6,0,2,1,2,0,1,0,0,2,94990,0,0
512,4,1,3,1,0,1,6,0,2,1,2,1,0,0,1,3,92000,8,1
513,4,1,3,0,0,1,6,0,2,1,0,0,0,1,0,2,162990,3,1
514,3,1,3,1,0,5,6,0,2,1,0,2,0,0,1,4,135300,5,2
515,6,1,3,1,0,1,6,0,2,1,0,0,3,0,0,3,64990,33,5
516,5,1,3,0,0,1,6,0,2,1,0,2,2,0,0,2,174527,0,0
517,5,1,3,0,0,1,6,0,2,1,0,2,3,0,0,2,162299,0,0
518,3,1,3,0,0,1,6,0,2,1,0,0,0,1,1,2,109190,0,0
519,4,1,3,1,0,1,6,0,2,1,0,0,0,1,1,2,99999,0,0
520,6,1,3,0,0,1,6,0,2,1,1,0,0,0,0,3,104990,85,9
521,1,1,3,1,0,5,6,0,2,1,0,2,3,1,0,2,109990,0,0
522,1,1,3,5,0,0,6,0,2,1,0,2,0,0,0,3,99990,30,7
523,5,1,3,5,0,1,6,0,2,1,1,2,3,0,0,2,244801,0,0
524,1,1,3,1,0,5,6,0,2,1,0,2,3,0,0,2,94990,0,0
525,5,1,3,5,0,1,6,0,2,1,0,2,0,0,1,2,86000,0,0
526,5,1,3,0,0,1,6,0,2,0,1,0,3,0,0,2,162399,0,0
527,4,1,3,1,0,1,6,0,2,0,0,0,3,0,0,2,119599,0,0
528,5,1,3,0,0,3,6,0,2,1,0,2,3,0,0,2,211753,0,0
529,5,1,3,1,0,1,6,0,2,0,0,0,3,0,0,2,110999,0,0
531,1,1,3,5,3,3,6,0,2,1,0,2,0,0,0,3,81990,40,4
532,6,1,3,6,3,1,6,0,2,1,2,0,1,0,0,3,66990,1639,230
533,6,1,3,0,0,1,1,0,2,1,3,0,1,0,0,3,84990,498,64
534,1,1,3,1,0,5,1,0,2,1,1,0,0,1,1,2,104990,0,0
535,1,1,3,1,0,5,1,0,2,1,0,0,0,1,0,2,134990,0,0
536,1,1,3,1,0,1,1,0,2,1,2,1,3,0,0,3,98990,445,56
537,4,1,3,0,0,1,1,0,2,1,3,0,0,0,1,3,144690,17,4
538,1,1,3,1,0,5,1,0,2,1,0,2,3,0,0,2,99990,0,0
539,6,1,3,1,0,1,1,0,2,1,3,0,1,0,0,3,119990,20,3
540,1,1,3,1,0,1,1,0,2,0,2,0,0,0,0,2,194990,0,0
541,1,1,3,0,0,3,1,0,2,1,1,0,0,0,1,3,124990,17,1
542,3,1,3,1,0,1,1,0,2,1,1,0,3,0,0,2,122410,0,0
543,4,1,3,0,0,1,1,0,2,1,0,0,0,1,0,3,179990,13,5
544,6,1,3,1,0,1,1,0,2,1,2,0,1,1,0,3,154990,3,2
545,5,1,3,1,0,5,1,0,2,1,0,0,0,0,1,2,122990,4,2
546,1,1,3,0,0,1,1,0,2,1,3,0,0,1,0,3,224990,9,0
547,6,1,3,2,0,2,1,0,2,1,4,0,3,0,0,2,279990,0,0
548,4,1,3,1,0,1,1,0,2,1,2,0,3,0,0,2,121990,0,0
549,4,1,3,1,0,1,1,0,2,1,2,0,3,0,0,2,116990,0,0
550,5,1,3,1,0,1,1,0,2,1,3,0,3,0,0,3,151098,7,0
551,6,1,3,1,0,1,1,0,2,1,4,0,1,0,0,3,129990,14,3
552,4,1,3,1,0,5,1,0,2,1,0,0,0,1,0,2,149999,0,0
553,6,1,3,2,0,1,1,0,2,1,3,0,3,0,0,3,139990,4,2
554,7,1,3,1,0,1,1,0,2,1,3,0,0,0,0,3,129990,54,7
555,4,1,3,1,0,1,1,0,2,1,4,0,0,0,1,2,171990,0,0
556,3,1,3,1,0,1,1,0,2,1,1,0,0,0,1,3,93955,4,0
557,1,1,3,0,0,1,1,0,2,1,4,0,3,0,0,2,234990,0,0
558,4,1,3,1,0,5,1,0,2,1,0,0,0,1,1,2,128500,3,1
559,5,1,3,1,0,1,1,0,2,1,0,0,0,1,1,3,102990,16,2
560,1,1,3,1,0,5,1,0,2,1,0,0,0,1,0,3,119990,8,1
561,1,1,3,1,0,1,1,0,2,0,3,0,3,0,0,2,120980,0,0
562,1,1,3,1,0,1,1,0,2,0,3,0,0,0,0,3,157249,7,0
563,5,1,3,6,0,1,1,0,2,1,2,2,3,0,0,2,229900,0,0
564,1,1,3,1,0,1,1,0,2,1,3,0,0,0,0,2,131500,0,0
565,1,1,3,0,0,3,1,0,2,1,0,0,3,0,0,4,154990,3,0
566,1,1,3,0,0,3,1,0,2,1,0,0,3,0,0,2,165990,0,0
567,5,1,3,0,0,5,1,0,2,1,0,2,3,0,0,1,119990,2,1
568,1,1,3,0,0,3,1,0,2,1,0,0,3,0,0,2,167990,0,0
569,4,1,3,1,0,5,1,0,2,1,0,0,0,1,0,2,165000,0,0
570,2,1,3,0,0,1,1,0,2,1,0,2,3,0,0,2,62990,207,49
571,5,1,3,1,0,4,1,0,2,1,0,0,0,0,1,2,85990,7,2
572,4,1,3,1,0,1,1,0,2,1,1,0,0,0,1,2,94990,0,0
573,4,1,3,1,0,1,1,0,2,1,3,0,0,0,1,2,136990,0,0
574,5,1,3,0,0,1,1,0,2,1,4,0,0,0,1,2,234990,0,0
575,7,1,3,0,0,1,3,0,2,1,4,0,0,0,0,2,159990,4,0
576,1,1,3,0,0,3,3,0,2,1,0,0,3,0,0,2,233990,0,0
577,1,1,3,0,0,1,0,1,2,1,1,0,3,0,0,2,93990,0,0
578,4,1,3,5,0,1,2,1,2,1,2,0,0,0,0,2,116941,0,0
579,6,1,3,0,3,1,4,1,2,1,2,0,1,0,0,3,63990,794,83
580,1,1,3,0,0,1,4,1,2,1,2,1,3,0,0,3,66990,25,4
581,1,1,3,1,0,1,4,1,2,0,0,2,3,0,0,2,82500,0,0
582,7,1,3,0,0,1,4,1,2,1,3,0,0,0,0,3,119990,2038,313
583,6,1,3,0,0,1,4,1,2,1,2,0,2,0,0,2,159990,0,0
584,1,1,3,5,0,1,4,1,2,1,0,2,3,0,0,2,98912,0,0
585,7,1,3,1,0,1,6,1,2,1,2,0,0,0,0,3,92990,214,37
586,7,1,3,1,0,1,6,1,2,0,3,0,0,0,0,3,119990,342,54
587,7,1,4,1,1,1,1,0,2,1,4,0,0,0,0,2,169990,0,0
588,7,1,4,1,0,1,1,0,2,1,3,0,0,0,0,2,139990,0,0
589,6,1,4,1,0,1,1,0,2,1,3,0,3,0,0,2,192990,0,0
590,1,1,4,2,0,2,1,0,2,1,3,0,3,0,0,2,299990,0,0
591,1,1,4,0,0,1,1,0,2,1,3,0,0,1,0,3,269990,8,1
592,1,1,4,1,0,1,1,0,2,1,3,1,0,0,0,2,139990,0,0
593,5,1,4,0,0,1,1,0,2,0,4,0,3,0,0,2,265998,0,0
594,1,1,4,1,0,1,5,0,2,0,3,0,0,0,0,4,441990,1,1
595,6,1,2,0,3,4,0,3,0,0,2,0,3,0,0,3,86990,218,27
596,6,1,2,0,3,4,0,3,0,0,3,0,3,0,0,3,109990,78,16
597,6,1,2,0,3,4,0,3,0,0,2,0,3,0,0,3,109590,5,2
598,1,1,3,0,0,5,0,3,0,0,3,0,3,0,0,2,146490,2,1
599,0,2,5,0,3,1,4,0,1,1,0,0,0,0,0,3,85990,6725,629
600,0,2,5,0,3,1,4,0,1,1,0,0,0,0,0,3,112990,640,70
601,0,2,5,0,0,1,4,0,1,1,0,0,0,0,0,3,104990,45,4
603,0,2,5,0,0,1,4,0,1,1,0,0,0,0,0,3,132990,640,70
606,0,2,5,0,0,1,6,0,1,1,0,0,0,0,0,3,149990,640,70
607,0,2,5,0,3,1,6,0,1,1,0,0,0,0,0,3,125990,399,45
608,0,2,5,0,3,1,6,0,1,1,0,0,0,0,0,3,103990,809,91
609,0,2,5,0,3,1,6,0,1,1,0,0,0,0,0,3,101990,809,91
610,0,2,5,0,3,1,6,0,1,1,0,0,0,0,0,3,104990,6725,629
611,0,2,5,0,3,1,6,0,1,1,0,0,0,0,0,3,131990,399,45
612,0,2,5,0,0,1,6,0,1,1,0,0,0,0,0,3,128990,45,4
613,0,2,5,0,0,1,6,0,1,1,0,0,0,0,0,3,184990,42,8
614,0,2,5,0,0,1,6,0,1,1,0,0,0,0,0,3,225990,42,8
615,0,2,5,0,2,1,6,0,1,1,0,0,0,0,0,3,124990,45,4
617,0,2,5,0,3,1,1,0,1,1,0,0,0,0,0,3,149990,640,70
618,0,2,5,0,0,1,1,0,1,1,0,0,0,0,0,3,169990,640,70
619,0,2,5,0,0,1,1,0,1,1,0,0,0,0,0,3,225990,42,8
620,0,2,5,0,0,1,1,0,1,1,0,0,0,0,0,3,243990,42,8
621,0,2,5,0,1,1,1,0,1,1,0,0,0,0,0,4,309990,3,1
623,1,1,6,7,2,5,0,3,2,1,0,0,3,0,0,2,45990,0,0
624,1,1,6,7,2,1,2,0,2,0,0,0,3,1,0,2,58100,0,0
625,1,1,6,7,3,5,4,0,2,1,0,0,0,1,0,2,62990,0,0
626,4,1,6,7,3,1,4,0,2,1,0,2,0,0,1,3,32990,77,9
627,1,1,6,7,2,1,4,0,2,1,0,2,0,0,1,3,33990,6,0
628,7,1,6,7,2,1,4,0,2,1,0,0,0,0,0,3,30990,465,89
629,3,1,6,7,2,1,4,0,2,1,0,2,0,0,0,3,36000,102,16
630,1,1,6,7,2,1,4,0,2,1,0,2,0,0,1,3,32990,7,1
631,3,1,6,7,2,1,4,0,2,1,0,0,0,0,0,2,35990,0,0
632,1,1,6,7,2,4,0,1,2,1,0,0,3,0,0,2,27990,0,0
633,1,1,6,7,2,1,0,1,2,1,0,0,0,0,0,2,25990,4741,658
634,1,1,6,7,2,1,0,1,2,1,0,0,0,0,0,2,25990,2736,350
635,1,1,6,7,2,1,0,1,2,1,0,0,3,0,0,2,30780,0,0
636,4,0,7,7,3,1,4,0,2,1,0,2,0,0,0,3,37990,2214,241
637,1,0,7,7,3,1,4,0,2,1,0,2,0,0,0,3,35990,2886,375
638,3,0,7,7,3,1,4,0,2,1,0,2,3,0,0,3,39490,34,4
639,3,0,7,7,3,1,4,0,2,1,0,2,3,0,0,3,36990,137,15
640,3,0,7,7,3,1,4,0,2,1,0,2,0,0,0,3,39990,7,0
641,1,0,7,7,2,1,4,0,2,1,0,2,0,0,0,3,33690,170,26
642,3,0,7,7,3,1,4,0,2,1,0,2,3,0,0,2,40590,0,0
643,1,0,7,7,2,1,4,0,2,1,0,0,0,0,0,3,37990,39,3
644,1,0,7,7,2,1,4,0,2,1,0,2,0,0,1,3,34500,2886,375
645,7,0,7,7,3,1,6,0,2,1,0,0,0,0,0,3,36990,11,2
646,4,0,7,7,3,1,6,0,2,1,0,2,3,0,0,3,43490,163,33
647,4,0,7,7,3,1,6,0,2,1,0,2,0,0,1,3,41490,153,21
648,7,0,7,7,2,1,6,0,2,1,0,0,3,0,0,2,34990,0,0
649,4,0,7,7,2,1,6,0,2,1,0,2,0,0,1,3,44490,267,42
650,3,0,7,7,2,1,6,0,2,1,0,2,3,0,0,2,40590,0,0
651,3,0,7,7,3,1,6,0,2,1,0,2,3,0,0,2,42090,3,0
652,3,0,7,7,3,1,0,1,2,1,0,2,0,0,1,3,35990,59,12
653,4,0,7,7,3,1,0,1,2,1,0,2,0,0,1,3,39490,7291,895
654,3,0,7,7,3,1,0,1,2,1,0,2,3,0,0,3,37390,38,5
655,3,0,7,7,2,1,0,1,2,1,0,2,0,0,1,2,52632,0,0
656,3,0,7,7,2,1,0,1,2,1,0,0,0,0,1,3,39990,409,39
657,3,0,7,7,2,1,0,1,2,1,0,0,0,0,0,2,43990,0,0
658,4,0,7,7,2,1,0,1,2,1,0,0,0,0,0,3,32917,353,58
659,5,0,7,7,2,1,0,1,2,1,0,0,3,0,0,2,34990,38,6
660,3,0,7,7,3,1,0,1,2,1,0,2,3,0,0,2,39990,18,4
661,4,0,7,7,3,1,4,1,2,1,0,0,0,0,1,3,41999,3524,432
662,3,0,8,7,3,1,4,0,2,1,0,0,0,0,1,3,41990,939,107
663,3,0,8,7,3,1,4,0,2,1,0,2,0,0,0,3,44490,14,1
664,3,0,8,7,3,1,4,0,2,1,0,0,0,0,1,3,41990,649,84
665,3,0,8,7,3,1,4,0,2,1,0,2,0,0,1,3,44490,8,2
666,6,0,8,7,2,1,4,0,2,1,0,0,0,0,0,2,49990,0,0
667,3,0,8,7,2,1,4,0,2,1,0,2,0,0,0,3,44390,276,24
668,4,0,8,7,3,1,6,0,2,1,2,0,0,0,0,3,57990,4740,532
669,5,0,8,7,3,1,6,0,2,1,2,1,0,0,1,3,56990,162,15
670,5,0,8,7,3,1,6,0,2,1,0,2,0,0,0,3,48990,219,27
671,4,0,8,7,3,1,6,0,2,1,0,2,0,0,1,3,49970,193,28
672,6,0,8,7,3,1,6,0,2,1,0,0,3,0,0,3,47990,562,89
673,4,0,8,7,3,1,6,0,2,1,0,2,0,0,1,3,48990,45,5
674,7,0,8,7,3,5,6,0,2,1,0,2,0,0,0,3,53990,7,0
675,5,0,8,7,3,1,6,0,2,1,0,0,0,0,1,3,52990,39,5
676,7,0,8,7,3,1,6,0,2,1,0,0,0,0,0,2,43990,0,0
677,5,0,8,7,3,1,6,0,2,1,2,1,3,0,0,3,59490,92,10
678,6,0,8,7,3,1,6,0,2,1,2,0,3,0,0,3,64990,469,80
679,3,0,8,7,3,1,6,0,2,1,0,2,3,0,0,1,47490,2,1
680,4,0,8,7,3,1,6,0,2,1,2,0,0,0,0,3,59990,1978,188
681,5,0,8,7,3,1,6,0,2,1,2,0,3,0,0,3,69990,9,0
682,4,0,8,7,3,1,6,0,2,1,2,0,0,0,0,3,58990,1049,134
683,3,0,8,7,3,1,6,0,2,1,0,2,0,0,0,3,59490,74,18
