,brand,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,os_bit,graphic_card_gb,weight,warranty,Touchscreen,msoffice,rating,Price,Number of Ratings,Number of Reviews
77,3,1,1,1,2,1,4,0,2,1,0,0,0,0,0,2,46690,0,0
78,5,1,1,0,2,1,4,0,2,0,0,0,3,0,0,4,40990,1,1
79,3,1,1,0,2,1,4,0,2,1,0,2,0,0,0,3,39990,44,2
80,5,1,1,1,2,1,4,0,2,1,0,2,3,0,0,2,43990,0,0
81,1,1,1,1,2,1,4,0,2,1,0,2,0,0,0,3,36990,70,9
82,3,1,1,1,3,1,4,0,2,1,0,0,0,0,0,2,48500,0,0
83,1,1,1,1,3,1,4,0,2,1,0,0,3,0,0,2,48990,0,0
84,1,1,0,7,2,4,0,3,2,0,0,0,3,0,0,3,23490,632,92
85,4,1,1,5,2,1,4,0,2,1,0,0,0,1,1,3,54238,71,8
86,1,1,1,0,3,1,6,0,2,1,0,0,0,0,0,3,37990,990,108
87,4,1,1,1,3,1,6,0,2,1,0,2,0,0,1,3,42990,158,18
88,4,1,1,1,3,1,6,0,2,1,0,2,0,0,1,3,42990,681,59
89,1,1,1,0,2,1,6,0,2,1,0,0,0,0,0,3,35990,130,12
90,1,1,1,1,3,1,6,0,2,1,0,0,0,0,0,3,42990,30,4
91,1,1,1,1,3,5,6,0,2,0,0,0,0,1,1,3,51990,6,2
92,1,1,1,1,3,1,6,0,2,1,0,0,0,0,0,3,48990,174,30
93,1,1,1,1,3,1,6,0,2,1,0,0,0,0,0,3,42990,40,7
94,5,1,1,0,3,1,6,0,2,1,0,2,0,0,0,2,38990,13,1
95,3,1,1,1,3,1,6,0,2,1,0,2,3,0,0,3,45990,184,29
96,4,1,1,0,3,1,6,0,2,1,0,2,0,0,1,3,42490,1296,126
97,4,1,1,1,3,1,6,0,2,1,0,2,0,0,1,3,43970,571,56
98,1,1,1,0,2,1,6,0,2,1,0,2,0,0,1,3,39990,2551,297
99,6,1,1,1,3,1,6,0,2,1,0,2,3,0,0,3,48990,17,3
100,4,1,1,1,3,1,6,0,2,1,0,0,0,0,1,3,54990,35,3
101,6,1,1,0,3,1,6,0,2,1,0,2,3,0,0,3,40990,118,17
102,1,1,1,1,3,1,6,0,2,1,0,2,0,0,1,2,41990,0,0
103,5,1,1,1,3,1,6,0,2,1,0,2,0,1,0,3,54990,245,34
104,1,1,1,1,3,1,6,0,2,1,0,0,0,0,1,3,44990,2058,305
105,4,1,1,1,3,1,6,0,2,1,0,0,0,0,0,3,41250,117,11
106,4,1,1,1,3,1,6,0,2,1,0,2,3,0,0,2,44990,0,0
107,1,1,1,1,3,1,6,0,2,1,0,0,0,0,0,3,42990,74,11
108,3,1,1,1,3,1,6,0,2,1,0,0,0,1,0,3,60790,10,1
109,4,1,1,1,3,1,6,0,2,1,0,0,3,0,0,3,45650,39,4
110,3,1,1,0,3,1,6,0,2,1,0,2,0,0,1,2,41990,29,7
111,3,1,1,0,3,1,6,0,2,1,0,2,0,0,0,3,45490,43,4
112,1,1,1,1,3,1,6,0,2,1,0,2,0,0,1,2,44990,0,0
113,5,1,1,1,3,1,6,0,2,1,0,2,1,0,1,3,42990,984,99
114,4,1,1,1,2,1,6,0,2,1,0,2,0,0,1,3,45490,523,66
115,4,1,1,0,2,1,6,0,2,0,0,0,3,0,0,3,38799,30,1
116,4,1,1,1,2,1,6,0,2,1,0,0,0,1,1,2,69267,0,0
117,1,1,1,1,2,1,6,0,2,1,0,0,0,0,1,2,51649,0,0
118,4,1,1,1,2,1,6,0,2,1,0,2,0,0,1,3,47990,1605,215
119,1,1,1,0,2,1,6,0,2,1,0,0,0,0,0,3,40990,4008,519
120,1,1,1,0,2,1,6,0,2,1,0,2,0,0,1,3,42990,1869,234
121,1,1,1,1,2,1,6,0,2,1,0,0,0,0,0,2,44890,7,0
122,1,1,1,0,2,1,6,0,2,1,0,0,0,0,0,3,41490,4008,519
123,4,1,1,1,2,1,6,0,2,0,0,2,0,0,0,2,50990,0,0
124,4,1,1,1,2,1,6,0,2,1,0,2,0,0,1,3,48900,1278,135
126,3,1,1,0,2,1,6,0,2,1,0,0,3,0,0,2,41790,0,0
127,5,1,1,1,2,1,6,0,2,1,0,0,0,1,1,2,57999,10,2
128,3,1,1,1,3,1,6,0,2,1,0,2,3,0,0,2,45930,0,0
129,4,1,1,1,3,1,6,0,2,1,0,0,0,1,1,3,55490,143,15
130,1,1,1,0,3,1,0,1,2,1,0,0,0,0,0,2,32890,28,4
131,5,1,1,0,3,1,0,1,2,1,0,2,0,0,1,3,35990,2124,233
132,3,1,1,1,3,1,0,1,2,1,0,2,3,0,0,3,42490,276,40
133,3,1,1,1,3,1,0,1,2,1,0,2,3,0,0,2,42190,250,21
134,3,1,1,0,3,1,0,1,2,1,0,2,0,0,1,3,39490,1917,189
135,4,1,1,1,3,1,0,1,2,1,0,2,0,0,1,3,43690,4999,490
136,1,1,1,0,2,1,0,1,2,1,0,0,0,0,0,2,35990,17,0
137,3,1,1,1,3,1,0,1,2,0,0,0,3,0,0,3,43800,17,0
138,5,1,1,0,3,1,0,1,2,0,0,0,3,0,0,2,38990,0,0
139,1,1,1,0,2,1,0,1,2,1,0,2,0,0,0,2,34990,4203,490
140,1,1,1,1,3,1,0,1,2,1,0,0,0,0,0,2,38900,13,0
141,3,1,1,0,2,1,0,1,2,1,0,2,0,0,0,2,39990,15,1
142,3,1,1,0,2,1,0,1,2,0,0,0,3,0,0,3,40890,527,46
143,5,1,1,0,2,1,0,1,2,1,0,2,0,0,0,2,36990,103,10
144,4,1,1,1,2,1,0,1,2,1,0,2,0,0,1,2,39990,324,45
145,4,1,1,1,2,1,0,1,2,1,0,2,0,0,1,3,41990,69,5
146,3,1,1,1,2,1,0,1,2,0,0,0,3,0,0,2,43970,16,0
147,4,1,1,1,2,1,0,1,2,1,0,2,0,0,0,2,39790,40,3
